cid,stock,n,mean_iv,cv,span,mean_qty
12346,TEST001,8,9.0,0.53,39,5.6
12347,20719,5,100.2,0.54,402,10.0
12347,21731,5,90.8,0.75,365,16.8
12347,22196,5,90.8,0.35,364,16.8
12347,22375,6,65.0,0.22,327,5.3
12347,22423,5,90.8,0.18,364,3.6
12347,22727,5,81.2,0.42,327,8.0
12347,84558A,6,72.4,0.48,364,26.0
12348,POST,5,90.5,0.55,362,2.0
12352,POST,5,61.2,1.14,246,1.4
12356,22423,5,92.0,0.86,370,9.4
12359,22423,6,113.6,0.18,569,7.0
12360,POST,6,114.2,0.49,573,2.7
12362,22629,5,62.0,0.52,251,12.0
12362,POST,11,73.0,1.72,735,3.0
12380,20725,5,145.5,0.56,584,12.0
12380,20726,5,126.0,0.72,506,12.0
12380,21731,5,159.8,0.84,640,31.2
12380,84997D,5,151.0,0.52,605,6.4
12380,POST,9,103.5,0.83,624,4.4
12383,POST,5,41.2,0.39,167,2.8
12388,22086,5,141.2,0.67,566,12.8
12388,47566,5,62.2,0.67,251,8.2
12388,47590B,5,126.0,0.7,506,4.2
12388,84978,5,126.2,0.74,506,14.4
12393,20726,5,88.5,0.58,356,18.0
12395,20719,7,78.7,0.49,475,11.4
12395,22326,7,96.8,1.15,583,6.9
12395,POST,15,44.4,0.62,583,2.1
12399,POST,7,87.3,0.47,525,1.1
12402,85099F,5,86.5,0.27,347,10.0
12402,POST,6,69.0,0.1,347,1.3
12407,POST,5,53.0,0.53,214,2.6
12408,22629,5,116.0,0.56,465,37.6
12408,22630,6,79.4,0.33,399,33.3
12408,POST,7,77.2,0.31,465,4.1
12412,22027,5,100.0,0.79,401,14.4
12412,POST,6,92.4,0.78,464,1.8
12415,21080,5,87.2,0.56,350,103.2
12415,21915,6,85.2,0.7,428,282.0
12415,22029,5,115.2,0.66,462,74.4
12415,22139,5,103.2,0.79,414,55.2
12415,22273,5,103.0,0.31,414,49.2
12415,22382,5,87.2,0.62,350,100.0
12415,22423,7,76.7,0.56,462,37.1
12415,22492,6,85.2,0.87,428,498.0
12415,22544,5,115.0,0.47,462,201.6
12415,22620,5,115.0,0.47,462,140.0
12415,22629,8,69.1,0.54,486,148.5
12415,22630,8,69.1,0.54,486,164.5
12415,22631,7,80.7,0.52,486,104.0
12415,22662,5,87.2,0.62,350,120.0
12415,22698,5,57.5,0.36,232,38.4
12415,22699,7,51.2,0.45,309,37.7
12415,22720,5,67.5,0.8,272,86.6
12415,22969,5,77.0,0.49,309,268.8
12417,22423,6,106.8,0.72,537,3.0
12417,22624,7,89.0,0.38,537,2.3
12417,POST,19,40.1,0.48,730,2.6
12421,POST,6,97.4,0.29,489,1.3
12422,POST,8,78.4,0.97,395,1.9
12423,20724,5,96.0,0.04,386,10.0
12423,POST,10,51.1,0.61,465,2.1
12428,POST,6,47.4,0.76,238,4.2
12431,21481,6,109.6,0.96,550,6.0
12431,21524,6,109.6,0.63,550,2.0
12431,21731,10,58.0,0.67,526,94.8
12431,22726,5,76.8,0.78,308,6.4
12431,22727,5,76.8,0.78,308,6.4
12431,48138,11,44.0,0.92,444,10.9
12431,85014A,6,156.8,0.17,629,4.0
12433,21166,5,101.0,1.27,406,16.8
12433,21212,5,89.0,1.21,358,52.8
12433,21213,5,101.0,1.27,406,52.8
12433,21872,5,111.8,1.04,448,12.0
12433,21874,5,111.8,1.29,448,36.0
12433,22112,5,99.2,1.22,399,7.8
12433,22114,5,92.8,1.17,372,11.2
12433,22197,6,79.4,1.27,399,104.0
12433,22665,5,89.0,1.21,358,16.8
12433,22666,7,74.3,1.25,448,18.9
12433,22667,6,79.4,1.27,399,21.0
12433,82600,6,89.4,1.09,448,36.0
12433,84050,5,101.0,1.27,406,80.8
12433,85152,5,99.5,1.34,399,33.6
12437,20719,5,73.0,1.18,294,30.0
12437,20724,6,55.0,0.34,278,10.0
12437,20749,5,50.0,0.24,203,3.6
12437,20750,7,56.0,0.24,339,2.9
12437,20973,5,52.0,0.56,209,24.0
12437,21080,6,129.0,0.34,647,24.0
12437,21086,9,55.2,0.76,447,42.7
12437,21094,8,69.6,0.57,490,36.0
12437,21122,5,157.5,0.69,632,24.0
12437,21212,5,157.5,0.53,632,24.0
12437,21559,9,44.0,0.66,355,10.0
12437,21754,5,84.2,0.39,339,6.0
12437,21843,6,78.4,0.26,394,4.8
12437,21987,5,161.2,0.8,647,21.6
12437,22090,6,126.0,0.62,632,13.0
12437,22215,6,85.4,0.57,429,4.5
12437,22236,5,101.8,0.53,409,7.2
12437,22326,9,75.4,0.87,608,10.6
12437,22328,5,45.0,0.32,182,9.6
12437,22352,10,49.2,0.67,448,9.6
12437,22353,7,37.8,0.43,230,9.4
12437,22356,10,55.8,0.66,506,14.0
12437,22423,6,44.4,0.84,223,3.7
12437,22435,6,74.4,0.55,374,32.0
12437,22629,5,113.8,1.25,456,12.0
12437,84077,5,89.2,0.46,358,48.0
12437,POST,34,22.4,0.8,735,2.3
12449,POST,5,96.5,0.77,388,7.0
12451,21731,5,115.5,0.29,463,16.8
12451,22551,5,126.2,0.47,507,24.0
12451,22554,5,115.5,0.29,463,38.4
12455,POST,7,83.5,0.57,504,1.0
12464,22846,6,59.2,0.58,299,5.0
12464,22847,5,74.2,0.51,299,3.8
12464,POST,7,49.3,0.55,299,2.4
12468,POST,5,123.2,0.44,495,4.8
12471,20719,19,27.0,0.69,465,12.6
12471,20914,15,25.2,0.5,358,10.4
12471,21080,9,59.8,0.52,483,12.0
12471,21210,14,43.8,0.72,577,13.7
12471,21212,6,56.4,0.64,284,24.0
12471,21231,10,51.4,0.77,465,13.2
12471,21232,26,30.1,0.77,730,24.5
12471,21429,5,12.2,0.45,49,9.6
12471,21527,10,25.1,0.66,204,5.6
12471,21576,6,23.0,0.71,93,8.0
12471,21577,22,25.0,0.81,483,9.0
12471,21578,16,28.5,1.01,375,12.0
12471,21700,29,24.4,0.8,622,27.3
12471,21731,23,36.1,1.12,730,19.8
12471,21787,5,40.2,0.87,162,24.0
12471,21976,7,58.0,0.49,351,24.0
12471,22077,16,43.1,0.49,608,18.0
12471,22150,7,29.8,0.64,182,6.0
12471,22198,5,22.8,0.6,93,14.4
12471,22200,16,27.1,0.43,358,7.2
12471,22202,5,20.5,0.37,83,8.8
12471,22236,5,26.0,0.19,105,7.2
12471,22301,7,15.3,0.6,93,6.9
12471,22314,10,22.4,0.62,182,8.0
12471,22326,16,29.3,0.97,415,9.0
12471,22331,5,34.5,0.59,140,9.6
12471,22333,13,32.2,0.61,358,8.6
12471,22348,8,44.3,0.57,268,26.0
12471,22353,17,16.9,0.43,258,7.8
12471,22419,12,42.2,0.66,426,56.3
12471,22423,23,29.2,0.59,622,28.7
12471,22445,16,23.5,0.57,357,7.5
12471,22457,7,41.2,0.67,249,9.4
12471,22467,8,37.4,1.12,264,21.0
