cid,stock,n,mean_iv,cv,span,mean_qty
16719,22704,5,133.2,0.03,535,25.0
12423,20724,5,96.0,0.04,386,10.0
14194,21870,6,94.4,0.04,474,12.0
15521,20749,5,152.0,0.04,608,2.2
14329,20728,5,158.5,0.04,634,10.0
15493,85124B,5,115.0,0.04,462,1.6
13004,23204,5,50.0,0.05,202,10.0
15563,21495,5,164.2,0.05,658,25.0
16670,21535,5,111.2,0.05,446,6.0
15563,21918,5,164.2,0.05,658,16.8
17160,22367,5,143.8,0.06,577,8.0
14291,21790,6,111.0,0.07,557,12.0
15358,21509,5,100.8,0.07,404,12.0
14101,22900,5,62.8,0.08,252,140.0
16788,85123A,5,136.2,0.08,547,9.8
17511,20727,6,110.2,0.08,553,100.0
16788,22411,5,136.2,0.08,547,1.4
13104,21137,6,129.4,0.08,649,32.0
17611,82494L,5,145.2,0.09,583,2.0
13562,22386,5,147.5,0.09,592,10.0
12766,22620,5,87.0,0.09,350,12.0
15640,21524,6,105.0,0.1,421,8.3
13481,48185,5,119.0,0.1,478,2.0
13562,15056BL,5,152.5,0.1,612,4.2
17921,85152,5,111.5,0.1,447,1.6
13562,15056N,5,152.5,0.1,612,5.4
12402,POST,6,69.0,0.1,347,1.3
13562,20679,5,152.5,0.1,612,4.0
13562,20685,5,152.5,0.1,612,2.4
12472,21671,5,122.2,0.1,490,12.0
16033,21786,5,51.2,0.1,206,4.0
15615,23298,5,50.5,0.1,203,4.8
16115,20725,5,92.5,0.1,370,3.4
15845,22568,5,67.0,0.1,269,8.8
13562,15056P,5,152.5,0.1,612,3.0
17107,21523,6,128.4,0.11,643,11.7
16550,22626,5,116.2,0.11,466,2.4
12989,21137,5,68.5,0.11,276,19.2
14341,85099F,5,101.0,0.11,406,10.0
14101,21135,5,53.2,0.11,214,41.6
16754,21704,8,30.7,0.11,188,792.0
16655,22624,5,125.2,0.11,503,2.2
15493,48111,6,123.8,0.12,622,1.3
15493,20685,5,125.5,0.12,505,1.0
12867,22030,5,100.8,0.12,404,12.0
16985,48138,6,62.2,0.12,251,10.0
14646,22482,5,109.5,0.12,440,96.0
15658,22423,6,59.8,0.12,301,4.5
15544,21509,5,121.0,0.12,486,12.0
15544,21507,5,121.0,0.12,486,12.0
16477,20725,5,71.8,0.12,288,10.0
16592,20914,5,107.8,0.12,433,6.0
12836,82484,6,91.8,0.12,460,6.7
15493,21524,6,123.8,0.12,622,1.2
16779,84986B,5,58.2,0.12,234,14.0
14535,21668,5,131.0,0.12,526,7.2
13993,84510A,5,83.8,0.12,336,10.4
17071,48184,5,61.2,0.12,247,2.2
13772,21928,5,138.5,0.13,557,1.6
17686,21930,6,104.8,0.13,526,10.0
14341,20725,5,99.5,0.13,399,10.0
15632,22568,5,52.5,0.13,211,5.6
15493,22461,5,115.0,0.13,462,2.2
17686,22386,6,104.8,0.13,526,10.0
13004,22029,5,124.2,0.13,499,12.0
13999,23208,5,50.5,0.13,203,10.0
17686,21931,6,104.8,0.13,526,10.0
16940,20727,6,135.4,0.14,679,5.0
13327,82583,6,91.8,0.14,461,14.0
17511,20728,5,122.2,0.14,490,100.0
15203,22815,5,98.5,0.14,396,12.0
13694,20914,5,136.0,0.14,546,83.2
15159,22728,5,106.2,0.14,427,5.6
16019,22423,7,37.2,0.14,224,16.0
17365,21918,6,81.0,0.14,408,13.0
15078,48111,5,94.8,0.14,381,2.0
16940,20728,6,135.4,0.14,679,4.3
15529,79321,5,62.2,0.14,251,3.8
13615,21527,5,62.5,0.14,252,2.0
12557,84997B,5,176.2,0.14,706,100.8
16710,79000,5,46.8,0.15,188,13.2
16735,71459,6,117.0,0.15,588,24.0
13815,22386,5,160.5,0.15,642,26.0
14732,22077,7,65.0,0.15,393,12.0
16556,48194,6,45.0,0.15,228,2.0
12681,21786,5,107.2,0.15,431,24.0
14606,21720,5,59.2,0.15,238,1.2
16656,21259,5,118.8,0.15,477,24.0
13599,22411,5,129.0,0.15,518,16.0
17323,22355,5,96.5,0.15,387,9.2
16525,84884A,5,127.5,0.15,513,30.0
17686,22663,5,103.5,0.15,415,10.0
17511,21212,8,93.6,0.15,658,120.0
16466,21653,5,48.2,0.16,195,21.0
17511,84970S,5,115.2,0.16,462,172.8
12662,20977,5,89.8,0.16,360,16.0
12662,22331,5,136.2,0.16,546,8.0
12662,23204,5,46.0,0.16,186,10.0
18118,22650,6,49.6,0.16,249,2.7
14156,22055,5,103.0,0.16,414,8.0
14625,21539,5,131.2,0.16,527,3.0
14388,22386,7,44.8,0.16,272,11.4
16409,21291,6,124.6,0.16,625,16.0
14911,22843,5,91.2,0.16,366,2.4
14841,85099B,6,118.0,0.16,591,13.3
12731,21889,5,104.0,0.16,418,19.2
16168,22456,6,102.2,0.16,513,8.0
16409,84596F,8,68.6,0.16,484,4.1
13319,85047,5,53.8,0.16,217,5.4
18230,21175,6,69.4,0.16,349,12.0
15358,84380,5,159.5,0.16,640,14.4
16713,22030,5,160.5,0.16,644,24.0
13993,21670,5,147.2,0.16,591,16.8
13291,85152,5,46.8,0.16,189,5.2
17841,20655,5,152.8,0.16,614,1.2
14312,22469,5,114.0,0.17,457,14.4
15867,85049B,5,92.5,0.17,371,2.0
12431,85014A,6,156.8,0.17,629,4.0
17685,85123A,5,49.2,0.17,198,13.2
17677,20725,5,155.2,0.17,622,100.0
16456,22386,6,77.5,0.17,314,26.7
16409,85152,7,67.5,0.17,408,1.9
13824,20727,6,90.4,0.17,453,13.3
17611,22178,7,82.0,0.17,496,6.0
15358,21977,5,57.2,0.17,230,24.0
16456,20713,5,77.8,0.17,314,26.0
12867,85199S,5,58.8,0.17,237,22.0
13291,82486,5,45.0,0.17,182,2.8
16409,85040B,7,67.5,0.17,408,5.1
