order_id,date,weekday,customer,item,category,quantity,unit,unit_price,total_amount,_pattern
ORD-1098,2025-04-02,수,우진소재,STS316,스테인리스,80,kg,7191,575280,seasonal
ORD-1018,2025-04-03,목,대성기업,AL6061,알루미늄,63,kg,3714,233982,P3
ORD-1000,2025-04-07,월,한진산업,STS304,스테인리스,174,kg,4563,793962,P1
ORD-1072,2025-04-07,월,명성산업,PIPE_SCH40,배관,15,m,17516,262740,regular
ORD-1132,2025-04-08,화,태광스틸,STS316,스테인리스,65,kg,7070,459550,noise
ORD-1097,2025-04-14,월,우진소재,AL6061,알루미늄,36,kg,3888,139968,seasonal
ORD-1047,2025-04-14,월,세진테크,STS304,스테인리스,196,kg,4372,856912,P6
ORD-1049,2025-04-15,화,세진테크,CARBON_STEEL,탄소강,312,kg,2769,863928,P6
ORD-1048,2025-04-15,화,세진테크,AL5052,알루미늄,132,kg,3402,449064,P6
ORD-1096,2025-04-16,수,우진소재,STS316,스테인리스,28,kg,7227,202356,seasonal
ORD-1019,2025-04-18,금,대성기업,AL6061,알루미늄,65,kg,3694,240110,P3
ORD-1073,2025-04-21,월,명성산업,CARBON_STEEL,탄소강,73,kg,2869,209437,regular
ORD-1062,2025-04-28,월,동아전자,PTFE_SHEET,실링,57,장,31053,1770021,P8
ORD-1123,2025-04-28,월,삼호금속,CARBON_STEEL,탄소강,62,kg,2765,171430,noise
ORD-1063,2025-04-28,월,동아전자,SS_BOLT_M10,체결부품,101,ea,249,25149,P8_extra
ORD-1131,2025-04-28,월,태광스틸,CARBON_STEEL,탄소강,50,kg,2833,141650,noise
ORD-1144,2025-04-30,수,태광스틸,STS304,스테인리스,34,kg,4587,155958,noise
ORD-1143,2025-05-02,금,태광스틸,PIPE_SCH40,배관,32,m,17493,559776,noise
ORD-1020,2025-05-02,금,대성기업,AL6061,알루미늄,76,kg,3745,284620,P3
ORD-1074,2025-05-05,월,명성산업,PIPE_SCH40,배관,13,m,17616,229008,regular
ORD-1099,2025-05-05,월,우진소재,CU_PLATE,동,40,kg,14695,587800,seasonal
ORD-1001,2025-05-12,월,한진산업,STS304,스테인리스,134,kg,4407,590538,P1+P5
ORD-1002,2025-05-13,화,한진산업,CU_PIPE,동,17,m,11682,198594,P7
ORD-1021,2025-05-15,목,대성기업,AL6061,알루미늄,69,kg,3757,259233,P3
ORD-1120,2025-05-19,월,삼호금속,STS316,스테인리스,48,kg,6923,332304,noise
ORD-1059,2025-05-19,월,세진테크,STS316,스테인리스,116,kg,7052,818032,P9
ORD-1075,2025-05-19,월,명성산업,PIPE_SCH40,배관,15,m,18525,277875,regular
ORD-1126,2025-05-26,월,삼호금속,AL5052,알루미늄,23,kg,3592,82616,noise
ORD-1100,2025-05-27,화,우진소재,STS316,스테인리스,84,kg,7176,602784,seasonal
ORD-1167,2025-05-28,수,한진산업,STS316,스테인리스,16,kg,7119,113904,noise
ORD-1022,2025-05-29,목,대성기업,AL6061,알루미늄,66,kg,3811,251526,P3
ORD-1148,2025-06-02,월,태광스틸,PTFE_SHEET,실링,15,장,31139,467085,noise
